concept:name,time:timestamp,case:concept:name
01_HOOFD_065_1,2010-10-18 14:01:02+02:00,2802160
01_HOOFD_100,2010-10-18 14:07:21+02:00,2802160
01_HOOFD_050,2010-10-18 14:09:49+02:00,2802160
01_HOOFD_065_1,2010-10-18 15:56:37+02:00,2782209
01_HOOFD_050,2010-10-18 15:56:54+02:00,2782209
01_HOOFD_100,2010-10-18 15:57:23+02:00,2782209
01_HOOFD_190_2,2010-10-19 00:00:00+02:00,2771451
01_HOOFD_190_2,2010-10-19 00:00:00+02:00,2783345
01_HOOFD_190_2,2010-10-19 00:00:00+02:00,2802160
01_HOOFD_010,2010-10-19 00:00:00+02:00,2814003
01_HOOFD_010,2010-10-19 00:00:00+02:00,2883285
01_HOOFD_015,2010-10-19 12:47:20+02:00,2799076
_END_,2010-10-19 12:47:21+02:00,2799076
01_HOOFD_065_2,2010-10-21 00:00:00+02:00,2883285
01_HOOFD_010,2010-10-22 00:00:00+02:00,2817543
01_HOOFD_010,2010-10-22 00:00:00+02:00,2830183
01_HOOFD_030_2,2010-10-25 00:00:00+02:00,2817543
01_HOOFD_195_2,2010-10-25 00:00:00+02:00,2817543
01_HOOFD_010,2010-10-25 00:00:00+02:00,2831567
01_HOOFD_010,2010-10-25 00:00:00+02:00,2833073
01_HOOFD_015,2010-10-25 09:33:31+02:00,2817543
01_HOOFD_020,2010-10-25 09:33:50+02:00,2817543
01_HOOFD_030_1,2010-10-25 09:37:23+02:00,2817543
01_HOOFD_040,2010-10-25 09:37:42+02:00,2817543
01_HOOFD_060,2010-10-25 09:37:52+02:00,2817543
04_BPT_010,2010-10-25 09:38:00+02:00,2817543
04_BPT_020,2010-10-25 09:38:07+02:00,2817543
04_BPT_030,2010-10-25 09:38:16+02:00,2817543
04_BPT_040,2010-10-25 09:38:21+02:00,2817543
04_BPT_060,2010-10-25 09:38:42+02:00,2817543
01_HOOFD_110,2010-10-25 15:21:50+02:00,2797217
05_EIND_010,2010-10-25 15:22:03+02:00,2797217
01_HOOFD_120,2010-10-25 15:22:21+02:00,2797217
01_HOOFD_180,2010-10-25 15:22:29+02:00,2797217
01_HOOFD_190_1,2010-10-25 15:22:32+02:00,2797217
01_HOOFD_200,2010-10-25 15:22:59+02:00,2797217
01_HOOFD_205,2010-10-25 15:22:59+02:00,2797217
01_HOOFD_270,2010-10-25 15:23:05+02:00,2797217
01_HOOFD_250,2010-10-25 15:23:15+02:00,2797217
01_HOOFD_260,2010-10-25 15:23:17+02:00,2797217
09_AH_I_010,2010-10-25 15:23:23+02:00,2797217
01_HOOFD_370,2010-10-25 15:23:25+02:00,2797217
01_HOOFD_375,2010-10-25 15:23:25+02:00,2797217
01_HOOFD_380,2010-10-25 15:23:30+02:00,2797217
01_HOOFD_430,2010-10-25 15:23:39+02:00,2797217
01_HOOFD_470,2010-10-25 15:23:45+02:00,2797217
01_HOOFD_480,2010-10-25 15:23:49+02:00,2797217
01_HOOFD_490_1,2010-10-25 15:23:49+02:00,2797217
01_HOOFD_490_2,2010-10-25 15:23:52+02:00,2797217
01_HOOFD_500,2010-10-25 15:24:22+02:00,2797217
01_HOOFD_510_1,2010-10-25 15:34:54+02:00,2797217
01_HOOFD_520,2010-10-25 15:35:05+02:00,2797217
01_HOOFD_490_3,2010-10-26 00:00:00+02:00,2797217
01_HOOFD_010,2010-10-26 00:00:00+02:00,2825088
01_HOOFD_010,2010-10-26 00:00:00+02:00,2838476
01_HOOFD_100,2010-10-27 00:00:00+02:00,2782209
01_HOOFD_100,2010-10-27 00:00:00+02:00,2794023
01_HOOFD_100,2010-10-27 00:00:00+02:00,2797217
01_HOOFD_100,2010-10-27 00:00:00+02:00,2802160
01_HOOFD_010,2010-10-27 00:00:00+02:00,2824783
01_HOOFD_015,2010-10-28 15:34:42+02:00,2824783
01_HOOFD_020,2010-10-28 15:34:57+02:00,2824783
01_HOOFD_015,2010-10-28 15:50:31+02:00,2825088
01_HOOFD_020,2010-10-28 15:50:42+02:00,2825088
01_HOOFD_510_2,2010-11-01 00:00:00+01:00,2797217
01_HOOFD_190_2,2010-11-01 00:00:00+01:00,2814003
01_HOOFD_065_2,2010-11-01 00:00:00+01:00,2814003
01_HOOFD_010,2010-11-01 00:00:00+01:00,2832460
01_HOOFD_065_2,2010-11-02 00:00:00+01:00,2830183
01_HOOFD_065_2,2010-11-02 00:00:00+01:00,2831567
01_HOOFD_065_2,2010-11-02 00:00:00+01:00,2832460
01_HOOFD_065_2,2010-11-02 00:00:00+01:00,2833073
01_HOOFD_010,2010-11-02 00:00:00+01:00,2839858
01_HOOFD_010,2010-11-02 00:00:00+01:00,2840219
01_HOOFD_010,2010-11-02 00:00:00+01:00,2840553
01_HOOFD_010,2010-11-02 00:00:00+01:00,2847603
01_HOOFD_065_1,2010-11-02 09:06:18+01:00,2817543
01_HOOFD_015,2010-11-02 11:44:58+01:00,2831567
01_HOOFD_020,2010-11-02 11:45:04+01:00,2831567
01_HOOFD_040,2010-11-02 11:45:09+01:00,2831567
01_HOOFD_060,2010-11-02 11:45:17+01:00,2831567
01_HOOFD_065_1,2010-11-02 11:52:09+01:00,2831567
01_HOOFD_015,2010-11-02 14:03:34+01:00,2832460
01_HOOFD_020,2010-11-02 14:03:46+01:00,2832460
01_HOOFD_040,2010-11-02 14:03:52+01:00,2832460
01_HOOFD_060,2010-11-02 14:03:57+01:00,2832460
01_HOOFD_065_1,2010-11-02 14:06:24+01:00,2832460
01_HOOFD_100,2010-11-02 14:06:43+01:00,2832460
01_HOOFD_100,2010-11-02 14:30:17+01:00,2831567
01_HOOFD_015,2010-11-02 14:41:01+01:00,2830183
01_HOOFD_020,2010-11-02 14:41:08+01:00,2830183
01_HOOFD_040,2010-11-02 14:41:14+01:00,2830183
01_HOOFD_060,2010-11-02 14:41:19+01:00,2830183
01_HOOFD_065_1,2010-11-02 14:46:26+01:00,2830183
01_HOOFD_015,2010-11-02 14:47:11+01:00,2833073
01_HOOFD_020,2010-11-02 14:47:21+01:00,2833073
01_HOOFD_040,2010-11-02 14:47:27+01:00,2833073
01_HOOFD_060,2010-11-02 14:47:36+01:00,2833073
01_HOOFD_065_1,2010-11-02 14:50:28+01:00,2833073
01_HOOFD_100,2010-11-02 14:55:26+01:00,2833073
01_HOOFD_100,2010-11-02 15:05:29+01:00,2830183
01_HOOFD_530,2010-11-03 00:00:00+01:00,2797217
01_HOOFD_100,2010-11-03 00:00:00+01:00,2814003
01_HOOFD_010,2010-11-03 00:00:00+01:00,2846764
01_HOOFD_010,2010-11-03 00:00:00+01:00,2847199
01_HOOFD_065_2,2010-11-04 00:00:00+01:00,2817543
01_HOOFD_065_2,2010-11-04 00:00:00+01:00,2838476
01_HOOFD_065_2,2010-11-04 00:00:00+01:00,2839858
01_HOOFD_065_2,2010-11-04 00:00:00+01:00,2840219
01_HOOFD_065_2,2010-11-04 00:00:00+01:00,2840553
01_HOOFD_010,2010-11-04 00:00:00+01:00,2848063
01_HOOFD_010,2010-11-04 00:00:00+01:00,2851738
01_HOOFD_010,2010-11-04 00:00:00+01:00,2852274
01_HOOFD_015,2010-11-04 12:17:57+01:00,2838476
01_HOOFD_020,2010-11-04 12:18:04+01:00,2838476
01_HOOFD_040,2010-11-04 12:18:12+01:00,2838476
01_HOOFD_060,2010-11-04 12:18:18+01:00,2838476
01_HOOFD_065_1,2010-11-04 12:24:25+01:00,2838476
01_HOOFD_015,2010-11-04 15:04:34+01:00,2839858
01_HOOFD_020,2010-11-04 15:04:49+01:00,2839858
01_HOOFD_040,2010-11-04 15:08:21+01:00,2839858
01_HOOFD_060,2010-11-04 15:08:26+01:00,2839858
01_HOOFD_065_1,2010-11-04 15:12:35+01:00,2839858
01_HOOFD_050,2010-11-04 15:20:58+01:00,2839858
05_EIND_010,2010-11-04 15:21:17+01:00,2839858
01_HOOFD_130,2010-11-04 15:21:29+01:00,2839858
01_HOOFD_110,2010-11-04 15:21:37+01:00,2839858
01_HOOFD_100,2010-11-04 15:21:55+01:00,2839858
01_HOOFD_100,2010-11-04 15:23:47+01:00,2838476
01_HOOFD_130,2010-11-04 15:24:21+01:00,2838476
01_HOOFD_050,2010-11-04 15:24:28+01:00,2838476
01_HOOFD_110,2010-11-04 15:26:31+01:00,2838476
01_HOOFD_015,2010-11-04 15:46:53+01:00,2840219
01_HOOFD_020,2010-11-04 15:46:59+01:00,2840219
01_HOOFD_040,2010-11-04 15:47:03+01:00,2840219
01_HOOFD_060,2010-11-04 15:47:06+01:00,2840219
01_HOOFD_065_1,2010-11-04 15:54:36+01:00,2840219
01_HOOFD_100,2010-11-04 16:13:22+01:00,2840219
01_HOOFD_130,2010-11-04 16:13:36+01:00,2840219
01_HOOFD_050,2010-11-04 16:13:41+01:00,2840219
01_HOOFD_015,2010-11-04 16:17:29+01:00,2840553
01_HOOFD_020,2010-11-04 16:17:45+01:00,2840553
01_HOOFD_040,2010-11-04 16:17:51+01:00,2840553
01_HOOFD_060,2010-11-04 16:17:55+01:00,2840553
01_HOOFD_065_1,2010-11-04 16:19:51+01:00,2840553
01_HOOFD_130,2010-11-04 16:22:28+01:00,2840553
01_HOOFD_050,2010-11-04 16:22:44+01:00,2840553
01_HOOFD_100,2010-11-04 16:22:50+01:00,2840553
01_HOOFD_010,2010-11-05 00:00:00+01:00,2854000
01_HOOFD_065_2,2010-11-08 00:00:00+01:00,2846764
01_HOOFD_190_2,2010-11-08 00:00:00+01:00,2847199
01_HOOFD_065_2,2010-11-08 00:00:00+01:00,2847199
01_HOOFD_065_2,2010-11-08 00:00:00+01:00,2847603
01_HOOFD_065_2,2010-11-08 00:00:00+01:00,2848063
01_HOOFD_015,2010-11-08 11:24:43+01:00,2814003
01_HOOFD_020,2010-11-08 11:24:48+01:00,2814003
01_HOOFD_040,2010-11-08 11:24:53+01:00,2814003
01_HOOFD_060,2010-11-08 11:24:58+01:00,2814003
01_HOOFD_065_1,2010-11-08 11:25:02+01:00,2814003
06_VD_010,2010-11-08 11:25:17+01:00,2814003
01_HOOFD_100,2010-11-08 11:26:31+01:00,2814003
01_HOOFD_110,2010-11-08 11:27:03+01:00,2814003
01_HOOFD_130,2010-11-08 11:27:15+01:00,2814003
01_HOOFD_050,2010-11-08 11:27:27+01:00,2814003
05_EIND_010,2010-11-08 11:27:35+01:00,2814003
01_HOOFD_120,2010-11-08 11:27:42+01:00,2814003
01_HOOFD_180,2010-11-08 11:27:52+01:00,2814003
01_HOOFD_190_1,2010-11-08 11:28:06+01:00,2814003
01_HOOFD_200,2010-11-08 11:29:02+01:00,2814003
01_HOOFD_205,2010-11-08 11:29:02+01:00,2814003
01_HOOFD_270,2010-11-08 11:29:11+01:00,2814003
01_HOOFD_250,2010-11-08 11:29:43+01:00,2814003
01_HOOFD_260,2010-11-08 11:29:45+01:00,2814003
09_AH_I_010,2010-11-08 11:29:53+01:00,2814003
01_HOOFD_370,2010-11-08 11:29:57+01:00,2814003
01_HOOFD_375,2010-11-08 11:29:57+01:00,2814003
01_HOOFD_380,2010-11-08 11:30:03+01:00,2814003
01_HOOFD_430,2010-11-08 11:30:20+01:00,2814003
01_HOOFD_470,2010-11-08 11:30:26+01:00,2814003
01_HOOFD_480,2010-11-08 11:30:31+01:00,2814003
01_HOOFD_490_1,2010-11-08 11:30:32+01:00,2814003
01_HOOFD_490_2,2010-11-08 11:30:42+01:00,2814003
01_HOOFD_500,2010-11-08 11:31:21+01:00,2814003
01_HOOFD_510_1,2010-11-08 11:31:30+01:00,2814003
01_HOOFD_520,2010-11-08 11:34:50+01:00,2814003
01_HOOFD_015,2010-11-08 13:12:23+01:00,2846764
01_HOOFD_020,2010-11-08 13:12:26+01:00,2846764
01_HOOFD_040,2010-11-08 13:12:31+01:00,2846764
01_HOOFD_060,2010-11-08 13:12:39+01:00,2846764
01_HOOFD_065_1,2010-11-08 13:12:42+01:00,2846764
01_HOOFD_100,2010-11-08 13:22:48+01:00,2846764
06_VD_010,2010-11-08 13:23:06+01:00,2846764
05_EIND_010,2010-11-08 13:23:14+01:00,2846764
01_HOOFD_050,2010-11-08 13:23:19+01:00,2846764
01_HOOFD_130,2010-11-08 13:23:24+01:00,2846764
01_HOOFD_110,2010-11-08 13:23:33+01:00,2846764
01_HOOFD_015,2010-11-08 14:57:21+01:00,2847199
01_HOOFD_020,2010-11-08 14:57:25+01:00,2847199
01_HOOFD_040,2010-11-08 14:57:29+01:00,2847199
01_HOOFD_060,2010-11-08 14:57:34+01:00,2847199
01_HOOFD_065_1,2010-11-08 15:02:51+01:00,2847199
06_VD_010,2010-11-08 15:03:00+01:00,2847199
01_HOOFD_100,2010-11-08 15:12:36+01:00,2847199
01_HOOFD_110,2010-11-08 15:12:57+01:00,2847199
01_HOOFD_120,2010-11-08 15:13:00+01:00,2847199
01_HOOFD_050,2010-11-08 15:13:09+01:00,2847199
01_HOOFD_130,2010-11-08 15:13:15+01:00,2847199
05_EIND_010,2010-11-08 15:13:23+01:00,2847199
01_HOOFD_180,2010-11-08 15:13:50+01:00,2847199
01_HOOFD_190_1,2010-11-08 15:13:54+01:00,2847199
01_HOOFD_015,2010-11-08 15:54:42+01:00,2847603
01_HOOFD_020,2010-11-08 15:54:48+01:00,2847603
01_HOOFD_040,2010-11-08 15:54:53+01:00,2847603
01_HOOFD_060,2010-11-08 15:55:03+01:00,2847603
01_HOOFD_065_1,2010-11-08 16:02:19+01:00,2847603
01_HOOFD_100,2010-11-08 16:03:13+01:00,2847603
01_HOOFD_015,2010-11-08 16:07:18+01:00,2848063
01_HOOFD_020,2010-11-08 16:07:40+01:00,2848063
01_HOOFD_040,2010-11-08 16:07:47+01:00,2848063
01_HOOFD_060,2010-11-08 16:07:54+01:00,2848063
01_HOOFD_065_1,2010-11-08 16:08:00+01:00,2848063
01_HOOFD_100,2010-11-08 16:08:38+01:00,2848063
01_HOOFD_490_3,2010-11-09 00:00:00+01:00,2814003
01_HOOFD_065_2,2010-11-09 00:00:00+01:00,2851738
01_HOOFD_065_2,2010-11-09 00:00:00+01:00,2852274
01_HOOFD_190_2,2010-11-09 00:00:00+01:00,2854000
01_HOOFD_065_2,2010-11-09 00:00:00+01:00,2854000
01_HOOFD_010,2010-11-09 00:00:00+01:00,2857143
01_HOOFD_490_3,2010-11-09 00:00:00+01:00,2883285
01_HOOFD_015,2010-11-09 11:33:45+01:00,2851738
01_HOOFD_020,2010-11-09 11:33:56+01:00,2851738
01_HOOFD_040,2010-11-09 11:34:02+01:00,2851738
01_HOOFD_060,2010-11-09 11:34:26+01:00,2851738
01_HOOFD_065_1,2010-11-09 11:37:06+01:00,2851738
01_HOOFD_100,2010-11-09 11:44:28+01:00,2851738
01_HOOFD_015,2010-11-09 12:23:50+01:00,2852274
01_HOOFD_020,2010-11-09 12:23:59+01:00,2852274
01_HOOFD_040,2010-11-09 12:24:05+01:00,2852274
01_HOOFD_060,2010-11-09 12:24:12+01:00,2852274
01_HOOFD_065_1,2010-11-09 12:28:55+01:00,2852274
01_HOOFD_100,2010-11-09 12:41:54+01:00,2852274
01_HOOFD_015,2010-11-09 14:29:11+01:00,2854000
01_HOOFD_020,2010-11-09 14:29:19+01:00,2854000
01_HOOFD_040,2010-11-09 14:29:24+01:00,2854000
01_HOOFD_060,2010-11-09 14:29:30+01:00,2854000
01_HOOFD_065_1,2010-11-09 14:32:08+01:00,2854000
01_HOOFD_100,2010-11-09 14:33:45+01:00,2854000
01_HOOFD_100,2010-11-10 00:00:00+01:00,2830183
01_HOOFD_100,2010-11-10 00:00:00+01:00,2831567
01_HOOFD_100,2010-11-10 00:00:00+01:00,2832460
01_HOOFD_100,2010-11-10 00:00:00+01:00,2833073
01_HOOFD_190_2,2010-11-10 00:00:00+01:00,2848063
01_HOOFD_065_2,2010-11-11 00:00:00+01:00,2857143
01_HOOFD_010,2010-11-11 00:00:00+01:00,2866083
01_HOOFD_015,2010-11-11 09:36:32+01:00,2857143
01_HOOFD_020,2010-11-11 09:36:43+01:00,2857143
01_HOOFD_040,2010-11-11 09:36:48+01:00,2857143
01_HOOFD_060,2010-11-11 09:36:52+01:00,2857143
01_HOOFD_065_1,2010-11-11 09:41:30+01:00,2857143
01_HOOFD_010,2010-11-12 00:00:00+01:00,2868276
01_HOOFD_510_2,2010-11-15 00:00:00+01:00,2814003
01_HOOFD_010,2010-11-15 00:00:00+01:00,2868714
01_HOOFD_510_2,2010-11-15 00:00:00+01:00,2883285
01_HOOFD_190_2,2010-11-15 00:00:00+01:00,2883285
01_HOOFD_110,2010-11-15 09:03:28+01:00,2782209
01_HOOFD_130,2010-11-15 09:04:27+01:00,2782209
05_EIND_010,2010-11-15 09:04:43+01:00,2782209
06_VD_010,2010-11-15 09:05:04+01:00,2782209
01_HOOFD_120,2010-11-15 09:20:23+01:00,2782209
01_HOOFD_180,2010-11-15 11:47:28+01:00,2782209
01_HOOFD_190_1,2010-11-15 11:53:09+01:00,2782209
01_HOOFD_200,2010-11-15 11:54:18+01:00,2782209
01_HOOFD_205,2010-11-15 11:54:19+01:00,2782209
01_HOOFD_270,2010-11-15 11:54:26+01:00,2782209
01_HOOFD_250,2010-11-15 11:54:34+01:00,2782209
01_HOOFD_260,2010-11-15 11:54:39+01:00,2782209
09_AH_I_010,2010-11-15 11:55:18+01:00,2782209
01_HOOFD_370,2010-11-15 11:56:17+01:00,2782209
01_HOOFD_375,2010-11-15 11:56:18+01:00,2782209
01_HOOFD_380,2010-11-15 11:56:23+01:00,2782209
01_HOOFD_430,2010-11-15 12:06:58+01:00,2782209
01_HOOFD_470,2010-11-15 12:07:03+01:00,2782209
01_HOOFD_480,2010-11-15 12:07:07+01:00,2782209
01_HOOFD_490_1,2010-11-15 12:07:09+01:00,2782209
01_HOOFD_490_2,2010-11-15 12:20:39+01:00,2782209
01_HOOFD_490_3,2010-11-16 00:00:00+01:00,2782209
01_HOOFD_010,2010-11-16 00:00:00+01:00,2871542
01_HOOFD_010,2010-11-16 00:00:00+01:00,2873491
01_HOOFD_500,2010-11-16 10:58:25+01:00,2782209
01_HOOFD_510_1,2010-11-16 11:30:00+01:00,2782209
01_HOOFD_520,2010-11-16 11:38:31+01:00,2782209
08_AWB45_020_2,2010-11-17 00:00:00+01:00,2783345
01_HOOFD_530,2010-11-17 00:00:00+01:00,2814003
01_HOOFD_100,2010-11-17 00:00:00+01:00,2838476
01_HOOFD_100,2010-11-17 00:00:00+01:00,2839858
01_HOOFD_100,2010-11-17 00:00:00+01:00,2840219
01_HOOFD_100,2010-11-17 00:00:00+01:00,2840553
01_HOOFD_100,2010-11-17 00:00:00+01:00,2846764
01_HOOFD_100,2010-11-17 00:00:00+01:00,2847199
01_HOOFD_100,2010-11-17 00:00:00+01:00,2847603
01_HOOFD_100,2010-11-17 00:00:00+01:00,2848063
01_HOOFD_100,2010-11-17 00:00:00+01:00,2851738
01_HOOFD_100,2010-11-17 00:00:00+01:00,2852274
01_HOOFD_100,2010-11-17 00:00:00+01:00,2854000
01_HOOFD_010,2010-11-17 00:00:00+01:00,2872584
01_HOOFD_530,2010-11-17 00:00:00+01:00,2883285
01_HOOFD_100,2010-11-17 00:00:00+01:00,2883285
_END_,2010-11-17 00:00:01+01:00,2852274
01_HOOFD_030_2,2010-11-18 00:00:00+01:00,2771451
08_AWB45_020_2,2010-11-18 00:00:00+01:00,2771451
01_HOOFD_190_2,2010-11-18 00:00:00+01:00,2782209
08_AWB45_020_2,2010-11-18 00:00:00+01:00,2802160
01_HOOFD_190_2,2010-11-18 00:00:00+01:00,2866083
01_HOOFD_065_2,2010-11-18 00:00:00+01:00,2866083
01_HOOFD_065_2,2010-11-18 00:00:00+01:00,2868276
01_HOOFD_065_2,2010-11-18 00:00:00+01:00,2868714
01_HOOFD_190_2,2010-11-18 00:00:00+01:00,2868714
01_HOOFD_010,2010-11-18 00:00:00+01:00,2874224
01_HOOFD_010,2010-11-18 00:00:00+01:00,2879904
01_HOOFD_010,2010-11-18 00:00:00+01:00,2891205
01_HOOFD_010,2010-11-18 00:00:00+01:00,2900428
01_HOOFD_015,2010-11-18 09:27:26+01:00,2866083
01_HOOFD_020,2010-11-18 09:27:33+01:00,2866083
01_HOOFD_040,2010-11-18 09:27:37+01:00,2866083
01_HOOFD_060,2010-11-18 09:28:00+01:00,2866083
01_HOOFD_065_1,2010-11-18 09:34:18+01:00,2866083
01_HOOFD_100,2010-11-18 09:43:01+01:00,2866083
01_HOOFD_015,2010-11-18 10:21:10+01:00,2868276
01_HOOFD_020,2010-11-18 10:21:15+01:00,2868276
01_HOOFD_040,2010-11-18 10:21:19+01:00,2868276
01_HOOFD_060,2010-11-18 10:21:28+01:00,2868276
01_HOOFD_065_1,2010-11-18 10:28:25+01:00,2868276
01_HOOFD_015,2010-11-18 11:16:39+01:00,2868714
01_HOOFD_020,2010-11-18 11:16:46+01:00,2868714
01_HOOFD_040,2010-11-18 11:16:50+01:00,2868714
01_HOOFD_060,2010-11-18 11:17:17+01:00,2868714
01_HOOFD_065_1,2010-11-18 11:34:18+01:00,2868714
01_HOOFD_100,2010-11-18 11:45:33+01:00,2868714
01_HOOFD_100,2010-11-18 11:47:08+01:00,2857143
01_HOOFD_100,2010-11-18 11:48:16+01:00,2868276
01_HOOFD_510_2,2010-11-19 00:00:00+01:00,2782209
01_HOOFD_010,2010-11-20 00:00:00+01:00,2875758
08_AWB45_040,2010-11-22 00:00:00+01:00,2771451
01_HOOFD_030_2,2010-11-22 00:00:00+01:00,2871542
01_HOOFD_030_2,2010-11-22 00:00:00+01:00,2872584
02_DRZ_020_2,2010-11-22 00:00:00+01:00,2873491
02_DRZ_010_2,2010-11-22 00:00:00+01:00,2873491
01_HOOFD_030_2,2010-11-22 00:00:00+01:00,2873491
01_HOOFD_015,2010-11-22 11:50:01+01:00,2873491
01_HOOFD_020,2010-11-22 12:03:15+01:00,2873491
01_HOOFD_030_1,2010-11-22 12:12:16+01:00,2873491
01_HOOFD_040,2010-11-22 12:13:01+01:00,2873491
02_DRZ_010_1,2010-11-22 13:19:04+01:00,2873491
02_DRZ_020_1,2010-11-22 13:19:08+01:00,2873491
02_DRZ_030,2010-11-22 13:19:28+01:00,2873491
01_HOOFD_790,2010-11-22 13:19:36+01:00,2873491
_END_,2010-11-22 13:19:37+01:00,2873491
01_HOOFD_015,2010-11-22 15:14:38+01:00,2872584
01_HOOFD_020,2010-11-22 15:14:45+01:00,2872584
01_HOOFD_030_1,2010-11-22 15:34:24+01:00,2872584
01_HOOFD_040,2010-11-22 15:41:18+01:00,2872584
01_HOOFD_490_3,2010-11-23 00:00:00+01:00,2847199
01_HOOFD_030_2,2010-11-23 00:00:00+01:00,2874224
01_HOOFD_030_2,2010-11-23 00:00:00+01:00,2875758
01_HOOFD_030_2,2010-11-23 00:00:00+01:00,2876753
01_HOOFD_010,2010-11-23 00:00:00+01:00,2876753
01_HOOFD_010,2010-11-23 00:00:00+01:00,2887729
01_HOOFD_010,2010-11-23 00:00:00+01:00,2890437
01_HOOFD_015,2010-11-23 09:50:08+01:00,2874224
01_HOOFD_020,2010-11-23 09:50:19+01:00,2874224
01_HOOFD_015,2010-11-23 11:44:07+01:00,2875758
01_HOOFD_020,2010-11-23 11:44:12+01:00,2875758
01_HOOFD_200,2010-11-23 12:07:47+01:00,2847199
01_HOOFD_205,2010-11-23 12:08:02+01:00,2847199
01_HOOFD_270,2010-11-23 12:08:21+01:00,2847199
01_HOOFD_250,2010-11-23 13:38:47+01:00,2847199
01_HOOFD_260,2010-11-23 13:39:24+01:00,2847199
09_AH_I_010,2010-11-23 13:39:31+01:00,2847199
01_HOOFD_375,2010-11-23 13:39:36+01:00,2847199
01_HOOFD_370,2010-11-23 13:39:36+01:00,2847199
01_HOOFD_380,2010-11-23 13:39:40+01:00,2847199
01_HOOFD_430,2010-11-23 13:39:48+01:00,2847199
01_HOOFD_470,2010-11-23 13:44:25+01:00,2847199
01_HOOFD_480,2010-11-23 13:44:57+01:00,2847199
01_HOOFD_490_1,2010-11-23 13:44:58+01:00,2847199
01_HOOFD_490_2,2010-11-23 14:43:20+01:00,2847199
01_HOOFD_500,2010-11-23 14:44:37+01:00,2847199
01_HOOFD_510_1,2010-11-23 14:45:18+01:00,2847199
01_HOOFD_520,2010-11-23 14:45:41+01:00,2847199
01_HOOFD_015,2010-11-23 15:00:09+01:00,2876753
01_HOOFD_020,2010-11-23 15:00:16+01:00,2876753
01_HOOFD_065_2,2010-11-24 00:00:00+01:00,2771451
01_HOOFD_530,2010-11-24 00:00:00+01:00,2782209
08_AWB45_040,2010-11-24 00:00:00+01:00,2783345
01_HOOFD_100,2010-11-24 00:00:00+01:00,2857143
01_HOOFD_190_2,2010-11-24 00:00:00+01:00,2874224
01_HOOFD_190_2,2010-11-24 00:00:00+01:00,2874224
01_HOOFD_065_2,2010-11-24 00:00:00+01:00,2874224
_END_,2010-11-24 00:00:01+01:00,2782209
01_HOOFD_030_1,2010-11-24 11:44:58+01:00,2874224
